org_id remap_id freebase_id
0553092626 0 m.045wq1q
0393316041 1 m.03_28m
038548254X 2 m.0h2q1cq
0385307756 3 m.04y9jxd
038531258X 4 m.060c1r
037540256X 5 m.04fsw6
0307275639 6 m.03q106
0449000869 7 m.04w27p7
0553102354 8 m.045wq2c
0385333951 9 m.0987ls
0060534389 10 m.045wphj
0140265686 11 m.03d4n37
0061374199 12 m.0bmjc2n
006092988X 13 m.04wxr8
0345383958 14 m.04w2lgx
0340831421 15 m.045wq1y
0143142372 16 m.04g88q
0553386018 17 m.045wq2l
0385488440 18 m.04t0zps
0061998850 19 m.0bmcg0m
0375411690 20 m.03y80t
0375726411 21 m.065wtbp
0345409469 22 m.02khnq
002907052X 23 m.06ntw0g
0312242646 24 m.0btffv
0586217460 25 m.01ylw1
0312626681 26 m.01c596
0375725601 27 m.0h0tgk
0156001373 28 m.04w2lmd
1401213863 29 m.07s3gx8
0743241924 30 m.03qhk27
0007205236 31 m.01kdyy
0671447548 32 m.045rmwt
0345802896 33 m.04ckbf
044661095X 34 m.0cc2wg
0307278441 35 m.05_42p
0312206097 36 m.0dhvsm
0399146253 37 m.07cfhk3
0399146164 38 m.04w50v4
0739425005 39 m.08c4hq
0842317872 40 m.0bvpkf
075820230X 41 m.06mltjf
0758219725 42 m.06lbpcv
0842387153 43 m.04t25sy
0380795981 44 m.06g9vgq
0394890485 45 m.06lgkb
034542719X 46 m.0bq2nx
0425179451 47 m.06g80mt
0758218583 48 m.06kdzc8
0345427203 49 m.02qpynw
0439216486 50 m.026vg9x
0849942411 51 m.03clntq
0380817187 52 m.06qh6m5
0553275852 53 m.02r5b8b
0061009059 54 m.098ts0
0399144315 55 m.065qgr3
0312978863 56 m.04w6ww7
0451202724 57 m.0g4nvq2
0448095017 58 m.026dcr
042518191X 59 m.04w6wxr
0142405957 60 m.03cvnjm
0758201508 61 m.06f422z
0060764945 62 m.0276dv
0451202945 63 m.04wblzk
0064409414 64 m.01zk6m
0451208552 65 m.04wfh5m
0345425324 66 m.08dqxm
0425188213 67 m.06jc_zg
0060264306 68 m.02qqh0p
0671742515 69 m.011k8y
0064400026 70 m.0j3zd0c
1576736385 71 m.06df3dk
0312277326 72 m.04w6wzr
0451210816 73 m.04wfh4m
0515087947 74 m.0bxs3s
0553286447 75 m.04t2cnb
0425200000 76 m.04w659w
0312329385 77 m.04w6ww_
0385510187 78 m.08ycz4j
0062073605 79 m.06j3yv
0785266224 80 m.06gmmqj
0425205320 81 m.06nt6c6
0842360565 82 m.08tsy2
0060563893 83 m.06hn00v
146420117X 84 m.06m2bcg
0451217292 85 m.05n03q2
0425207242 86 m.04w67n0
0385337590 87 m.06v1dly
0312347251 88 m.06hwp22
074321269X 89 m.0696xzb
0060563907 90 m.06dql1f
0425211126 91 m.06jbrxh
0553584340 92 m.060mpf9
